From_track	To_track	No of Hops
CS&S_AS	CS&S_CC_InstallBase	3
CS&S_AS	CS&S_ECMWT	3
CS&S_AS	CS&S_SW	27
CS&S_AS	CS&S_TS Other	5
CS&S_AS	CS&S_TS SSC	334
CS&S_AS	CS&S_TS TAC	94
CS&S_AS	CS&S_TS_FS	33
CS&S_AS	CS&S_WebEx	31
CS&S_AS	CVC_COVC_OM	87
CS&S_AS	CVC_COVC_SCM	1
CS&S_AS	CVC_EDW_PlatformSupport	1
CS&S_AS	CVC_EDW_Tera Data	22
CS&S_AS	CVC_FIN_ERP-I2C	1
CS&S_AS	CVC_FIN_ERP-P2R	4
CS&S_AS	CVC_FIN_Global-Tax-Customs	1
CS&S_AS	CVC_FIN_Non-ERP-TGCL	1
CS&S_AS	CVC_HR IT	10
CS&S_AS	CVC_Q2O_ProductCommerce_Ord	2
CS&S_AS	CVC_Q2O_ServiceCommerce_CSCC	2
CS&S_AS	CVC_Q2O_ServiceCommerce_SSFA	39
CS&S_AS	non gse	200
CS&S_AS	Others	1
CS&S_CC_InstallBase	CS&S_AS	1
CS&S_CC_InstallBase	CS&S_SW	1
CS&S_CC_InstallBase	CS&S_TS SSC	18
CS&S_CC_InstallBase	CS&S_TS_FS	8
CS&S_CC_InstallBase	CVC_COVC_OM	46
CS&S_CC_InstallBase	CVC_COVC_SCM	5
CS&S_CC_InstallBase	CVC_EDW_Tera Data	15
CS&S_CC_InstallBase	CVC_FIN_ERP-I2C	7
CS&S_CC_InstallBase	CVC_Q2O_ProductCommerce_Config	1
CS&S_CC_InstallBase	CVC_Q2O_ProductCommerce_Ord	19
CS&S_CC_InstallBase	CVC_Q2O_ProductCommerce_Quoting	1
CS&S_CC_InstallBase	CVC_Q2O_ServiceCommerce_CSCC	55
CS&S_CC_InstallBase	CVC_Q2O_ServiceCommerce_SSFA	5
CS&S_CC_InstallBase	non gse	8
CS&S_ECMWT	CS&S_AS	2
CS&S_ECMWT	CS&S_SW	2
CS&S_ECMWT	CS&S_TS SSC	1
CS&S_ECMWT	CS&S_WebEx	1
CS&S_ECMWT	CVC_B2B_Commerce	1
CS&S_ECMWT	CVC_FIN_Non-ERP-TGCL	1
CS&S_ECMWT	non gse	33
CS&S_ECMWT	Remedy IT	2
CS&S_eLearn	CS&S_GTMS_CPE	2
CS&S_eLearn	CVC_FIN_Non-ERP-TGCL	2
CS&S_eLearn	non gse	2
CS&S_GTMS_CPE	CS&S_CC_InstallBase	1
CS&S_GTMS_CPE	CS&S_eLearn	2
CS&S_GTMS_CPE	CS&S_GTMS_CRM	19
CS&S_GTMS_CPE	CS&S_GTMS_SCCC	25
CS&S_GTMS_CPE	CS&S_GTMS_UCRM	8
CS&S_GTMS_CPE	CVC_B2B_Commerce	1
CS&S_GTMS_CPE	CVC_COVC_OM	3
CS&S_GTMS_CPE	CVC_COVC_OM_Pricing	1
CS&S_GTMS_CPE	CVC_COVC_SCM	1
CS&S_GTMS_CPE	CVC_EDW_CustomerRegistry	17
CS&S_GTMS_CPE	CVC_EDW_PlatformSupport	8
CS&S_GTMS_CPE	CVC_EDW_Sales BI	5
CS&S_GTMS_CPE	CVC_EDW_Tera Data	137
CS&S_GTMS_CPE	CVC_FIN_ERP-I2C	16
CS&S_GTMS_CPE	CVC_FIN_Global-Tax-Customs	1
CS&S_GTMS_CPE	CVC_FIN_Non-ERP-TGCL	1
CS&S_GTMS_CPE	CVC_Q2O_ProductCommerce_Config	4
CS&S_GTMS_CPE	CVC_Q2O_ProductCommerce_Ord	16
CS&S_GTMS_CPE	CVC_Q2O_ProductCommerce_Pricing	5
CS&S_GTMS_CPE	CVC_Q2O_ProductCommerce_Quoting	98
CS&S_GTMS_CPE	CVC_Q2O_ServiceCommerce_CSCC	6
CS&S_GTMS_CPE	non gse	183
CS&S_GTMS_CRM	CS&S_GTMS_CPE	40
CS&S_GTMS_CRM	CS&S_GTMS_SCCC	30
CS&S_GTMS_CRM	CS&S_MKTG IT	3
CS&S_GTMS_CRM	CVC_EDW_CustomerRegistry	15
CS&S_GTMS_CRM	CVC_EDW_PlatformSupport	2
CS&S_GTMS_CRM	CVC_EDW_Sales BI	5
CS&S_GTMS_CRM	CVC_EDW_Tera Data	3
CS&S_GTMS_CRM	CVC_Q2O_ProductCommerce_Ord	1
CS&S_GTMS_CRM	CVC_Q2O_ProductCommerce_Quoting	31
CS&S_GTMS_CRM	non gse	234
CS&S_GTMS_CRM	Remedy IT	2
CS&S_GTMS_SCCC	CS&S_AS	1
CS&S_GTMS_SCCC	CS&S_GTMS_CPE	33
CS&S_GTMS_SCCC	CS&S_GTMS_CRM	8
CS&S_GTMS_SCCC	CS&S_GTMS_UCRM	1
CS&S_GTMS_SCCC	CVC_COVC_OM	14
CS&S_GTMS_SCCC	CVC_COVC_SCM	1
CS&S_GTMS_SCCC	CVC_EDW_CustomerRegistry	13
CS&S_GTMS_SCCC	CVC_EDW_PlatformSupport	2
CS&S_GTMS_SCCC	CVC_EDW_Sales BI	40
CS&S_GTMS_SCCC	CVC_EDW_Tera Data	40
CS&S_GTMS_SCCC	CVC_FIN_ERP-I2C	7
CS&S_GTMS_SCCC	CVC_FIN_Non-ERP-Reporting	1
CS&S_GTMS_SCCC	CVC_HR IT	6
CS&S_GTMS_SCCC	CVC_Q2O_ProductCommerce_Config	1
CS&S_GTMS_SCCC	CVC_Q2O_ProductCommerce_Ord	3
CS&S_GTMS_SCCC	CVC_Q2O_ProductCommerce_Quoting	72
CS&S_GTMS_SCCC	non gse	25
CS&S_GTMS_UCRM	CS&S_GTMS_CPE	8
CS&S_GTMS_UCRM	CS&S_TS TAC	1
CS&S_GTMS_UCRM	CVC_EDW_CustomerRegistry	1
CS&S_GTMS_UCRM	CVC_FIN_ERP-I2C	1
CS&S_GTMS_UCRM	CVC_OM_WCCS-Pega-Support	3
CS&S_GTMS_UCRM	CVC_Q2O_ProductCommerce_Ord	2
CS&S_GTMS_UCRM	CVC_Q2O_ProductCommerce_Quoting	1
CS&S_GTMS_UCRM	non gse	7
CS&S_MKTG IT	CS&S_GTMS_CRM	21
CS&S_MKTG IT	CVC_EDW_PlatformSupport	5
CS&S_MKTG IT	non gse	6
CS&S_SW	CS&S_AS	1
CS&S_SW	CS&S_CC_InstallBase	1
CS&S_SW	CS&S_ECMWT	4
CS&S_SW	CS&S_TS Other	3
CS&S_SW	CS&S_TS SSC	21
CS&S_SW	CS&S_TS_FS	16
CS&S_SW	CVC_B2B_Commerce	2
CS&S_SW	CVC_COVC_OM	142
CS&S_SW	CVC_COVC_SCM	4
CS&S_SW	CVC_EDW_CustomerRegistry	6
CS&S_SW	CVC_EDW_ITEMHUB	8
CS&S_SW	CVC_Q2O_ProductCommerce_Ord	12
CS&S_SW	non gse	10
CS&S_SW	Remedy IT	1
CS&S_TS Other	CS&S_AS	1
CS&S_TS Other	CS&S_ECMWT	3
CS&S_TS Other	CS&S_SW	11
CS&S_TS Other	CS&S_TS SSC	1
CS&S_TS Other	CS&S_TS TAC	1
CS&S_TS Other	CS&S_TS_FS	31
CS&S_TS Other	CVC_EDW_CustomerRegistry	1
CS&S_TS Other	CVC_FIN_ERP-I2C	1
CS&S_TS Other	CVC_Q2O_ServiceCommerce_SSFA	1
CS&S_TS Other	non gse	4
CS&S_TS SSC	CS&S_AS	12
CS&S_TS SSC	CS&S_CC_InstallBase	8
CS&S_TS SSC	CS&S_GTMS_SCCC	7
CS&S_TS SSC	CS&S_TS TAC	15
CS&S_TS SSC	CS&S_TS_FS	40
CS&S_TS SSC	CVC_B2B_Commerce	1
CS&S_TS SSC	CVC_COVC_OM	152
CS&S_TS SSC	CVC_COVC_SCM	117
CS&S_TS SSC	CVC_EDW_CustomerRegistry	1
CS&S_TS SSC	CVC_EDW_ITEMHUB	2
CS&S_TS SSC	CVC_EDW_Sales BI	1
CS&S_TS SSC	CVC_FIN_ERP-P2R	3
CS&S_TS SSC	CVC_Q2O_ProductCommerce_Ord	18
CS&S_TS SSC	CVC_Q2O_ServiceCommerce_CSCC	3
CS&S_TS SSC	CVC_Q2O_ServiceCommerce_SSFA	2
CS&S_TS SSC	non gse	31
CS&S_TS SSC	Others	1
CS&S_TS TAC	CS&S_AS	14
CS&S_TS TAC	CS&S_GTMS_UCRM	4
CS&S_TS TAC	CS&S_TS SSC	15
CS&S_TS TAC	CS&S_TS_FS	75
CS&S_TS TAC	CS&S_WebEx	5
CS&S_TS TAC	CVC_COVC_SCM	1
CS&S_TS TAC	CVC_HR IT	3
CS&S_TS TAC	CVC_Q2O_ServiceCommerce_CSCC	1
CS&S_TS TAC	non gse	70
CS&S_TS TAC	Remedy IT	2
CS&S_TS_FS	CS&S_AS	2
CS&S_TS_FS	CS&S_CC_InstallBase	19
CS&S_TS_FS	CS&S_SW	4
CS&S_TS_FS	CS&S_TS Other	5
CS&S_TS_FS	CS&S_TS SSC	68
CS&S_TS_FS	CS&S_TS TAC	24
CS&S_TS_FS	CVC_COVC_OM	21
CS&S_TS_FS	CVC_EDW_CustomerRegistry	3
CS&S_TS_FS	CVC_FIN_ERP-I2C	1
CS&S_TS_FS	CVC_FIN_ERP-P2R	1
CS&S_TS_FS	CVC_HR IT	1
CS&S_TS_FS	CVC_OM_WCCS-Pega-Support	1
CS&S_TS_FS	CVC_Q2O_ProductCommerce_Config	1
CS&S_TS_FS	CVC_Q2O_ServiceCommerce_CSCC	27
CS&S_TS_FS	non gse	50
CS&S_WebEx	CS&S_AS	27
CS&S_WebEx	CS&S_CC_InstallBase	2
CS&S_WebEx	CS&S_ECMWT	2
CS&S_WebEx	CS&S_TS TAC	6
CS&S_WebEx	CVC_COVC_OM	6
CS&S_WebEx	CVC_EDW_ITEMHUB	1
CS&S_WebEx	CVC_EDW_Tera Data	1
CS&S_WebEx	CVC_FIN_ERP-I2C	14
CS&S_WebEx	CVC_FIN_Global-Tax-Customs	8
CS&S_WebEx	CVC_Q2O_ProductCommerce_Config	6
CS&S_WebEx	CVC_Q2O_ProductCommerce_Ord	22
CS&S_WebEx	CVC_Q2O_ProductCommerce_Pricing	6
CS&S_WebEx	CVC_Q2O_ProductCommerce_Quoting	20
CS&S_WebEx	non gse	396
CS&S_WebEx	Others	1
CVC_B2B_Commerce	CS&S_ECMWT	2
CVC_B2B_Commerce	CS&S_GTMS_CPE	1
CVC_B2B_Commerce	CS&S_GTMS_CRM	2
CVC_B2B_Commerce	CS&S_SW	2
CVC_B2B_Commerce	CS&S_TS SSC	2
CVC_B2B_Commerce	CS&S_TS TAC	2
CVC_B2B_Commerce	CVC_B2B_EDI	46
